GBR_NAME,LABEL_ID,X_COORD,Y_COORD
Harvey Reef,11-187,143.26773071,-11.96995258
Clerke Reef,11-188,143.28601074,-11.96976376
U/N Rock,11-188,143.28297424,-11.96838379
Perry Reef,11-189,143.25473022,-11.97135067
Cape Grenville Reef (No 1),11-190a,143.23403931,-11.95914268
Cape Grenville Reef (No 2),11-190b,143.24432373,-11.97168732
Cape Grenville Reef (No 3),11-190c,143.21980286,-11.98335934
Hicks Reef,11-191,143.27005005,-11.98371029
Middle Reef,11-192,143.25653076,-11.98383236
Twin Reefs (North),11-193a,143.26808167,-11.99476337
Twin Reefs (South),11-193b,143.26725769,-11.99822807
Gore Reef,11-194,143.24754333,-11.99023438
South Reef,11-195,143.24118042,-11.99827003
U/N Reef,11-196,143.96231079,-11.51206398
U/N Reef,11-197,143.86936951,-11.51364994
U/N Rock,11-198,143.83454895,-11.52255058
U/N Rock,11-199,143.81983948,-11.52867603
Siddons Reef,11-200,143.64221191,-11.51258564
U/N Reef,11-201,143.86683655,-11.53081703
U/N Reef,11-202,143.87831116,-11.52675152
U/N Reef,11-203,143.85595703,-11.53986168
U/N Reef,11-204,143.86502075,-11.55042171
U/N Reef,11-205,143.91210938,-11.53071117
U/N Reef,11-206,143.9821167,-11.51644135
U/N Reef,11-207,143.90161133,-11.54532814
U/N Reef,11-208a,143.86178589,-11.55881405
U/N Reef,11-208b,143.86483765,-11.56421375
U/N Reef,11-209,143.88244629,-11.5559597
U/N Reef,11-210a,143.8687439,-11.56971645
U/N Reef,11-210b,143.87513733,-11.57206917
Pearson Reef,11-211,143.71586609,-11.56678677
Jukes Reef,11-212,143.85531616,-11.59234333
U/N Reef,11-213,143.51573181,-11.60236835
Bowles Reef,11-214,143.68450928,-11.62327385
U/N Reef,11-215,143.8795929,-11.63012218
U/N Cay,11-216,143.66667175,-11.68886852
U/N Reef,11-216,143.57757568,-11.65946579
U/N Reef,11-263,143.75422668,-11.30615902
U/N Reef,11-264,143.77384949,-11.80761051
U/N Reef,11-217,143.54988098,-11.68962383
U/N Reef,11-218,143.9140625,-11.63738728
U/N Reef,11-219,143.90174866,-11.66510677
U/N Reef,11-220,143.90249634,-11.69908905
U/N Reef,11-221,143.89541626,-11.72762108
Salamander Reef,11-222b,143.50505066,-11.76433372
U/N Cay,11-222a,143.63676453,-11.75847721
Inman Rock,11-222a,143.51048279,-11.81699085
U/N Cay,11-222b,143.65698242,-11.75388432
Tynemouth Rock,11-222b,143.53172302,-11.78463554
U/N Cay,11-222c,143.6516571,-11.77159786
U/N Cay,11-222d,143.65649414,-11.77887154
Raine Reef,11-243,144.0443573,-11.59504986
Great Detached Reef (No 1),11-244a,144.01834106,-11.68136787
Great Detached Reef (No 2),11-244b,144.07032776,-11.77790546
Great Detached Reef (No 3),11-244c,143.99763489,-11.78417778
Great Detached Reef (No 4),11-244d,143.97297668,-11.70529938
U/N Reef,11-245,144.02076721,-11.53217125
Passage Reef,11-246,143.24736023,-11.96459198
U/N Reef,11-247,143.11152649,-11.50704288
U/N Reef,11-248,143.11398315,-11.32721424
U/N Reef,11-249,143.33036804,-11.620368
U/N Reef,11-250,143.35350037,-11.48830605
U/N Reef,11-251,143.36968994,-11.55218506
U/N Reef,11-252,143.41201782,-11.44952869
U/N Reef,11-253,143.44273376,-11.17924309
U/N Reef,11-254,143.45925903,-11.10819817
U/N Reef,11-255,143.47775269,-11.49835205
U/N Reef,11-256,143.65112305,-11.62567711
U/N Reef,11-257,143.65937805,-11.42841721
U/N Reef,11-258,143.68553162,-11.55967712
U/N Reef,11-259,143.7056427,-11.55703545
U/N Reef,11-260,143.72416687,-11.79611969
U/N Reef,11-261,143.7454834,-11.80560303
U/N Reef,11-262,143.75033569,-11.48752403
Devlin Reef,11-229a,143.85604858,-11.82583523
U/N Reef,11-229b,143.84274292,-11.84426117
U/N Reef,11-230,143.82388306,-11.85441113
U/N Reef,11-231,143.82946777,-11.86002541
Five Reefs,11-232,143.83822632,-11.87015057
